194.0000	고국천왕 진대법(with. 을파소)
242.0000	동천왕 서안평 공격
243.0000	위(관구검)의 침입으로 환도산성 함락
246.0000		고이왕 낙랑군, 대방군 공격
260.0000		고이왕 6좌평 16관등 확립
311.0000	미천왕 서안평 점령
313.0000	미천왕 낙랑 축출
314.0000	미천왕 대방 점령
342.0000	고국원왕 전연(모용황)의 침입
371.0000	고국원왕 전사
372.0100		근초고왕 동진과 외교 수립
372.0600	소수림왕 불교 수용 및 태학 설립
373.0000	소수림왕 율령 반포
384.0000		침류왕 불교 수용
400.0000	광개토대왕 왜구 격퇴
410.0000	광개토대왕 동부여 복속
427.0000	장수왕 평양 천도
433.0000		비유왕-눌지마립간 동맹
472.0000		개로왕, 북위에 고구려 정벌 요청
475.0900	장수왕 한성 점령
475.1000		문주왕의 웅진천도
479.0000	장수왕 지두우 분할점령 시도
487.0000			소지 마립간 우역 설치
490.0000			소지 마립간 시장 설치
493.0000			소지 마립간, 이벌찬 비지 딸을 동성왕에게 보냄
494.0000	문자왕 북부여 복속
498.0000		동성왕 탐라 복속
502.0000			지증왕. 순장 금지 및 우경 장려
503.0000			지증왕 왕 호칭 사용
505.0000			지증왕 지방 제도 정비
508.0000			지증왕 동시전 설치
509.0000			지증왕 동시 설치
512.0000		무령왕, 양에 사신 파견	지증왕 우산국 정벌
513.0000		무령왕 일본에 단양이 파견
516.0000		무령왕 일본에 고안무 파견
517.0000			법흥왕 병부 설치
520.0000			법흥왕 율령 반포, 공복 제정
521.0000		무령왕, 양에 사신 파견, 백제제군사영동대장군
522.0000			법흥왕 대가야와 혼인동맹
527.0000			법흥왕 불교 공인
531.0000			법흥왕 상대등 설치
532.0000			법흥왕 금관가야 복속
536.0000			법흥왕 연호 사용(건원)
538.0000		성왕 사비 천도, 남부여 개칭
545.0000			진흥왕 국사 편찬(거칠부)
551.0000		성왕, 한강 하류 점령	진흥왕 한강 상류 점령, 단양적성비 건립
552.0000		성왕, 노리사치계 일본에 불교 전파
553.0000			진흥왕 신라가 한강 하류 장악
554.0000		성왕 관산성 전투에서 성왕 사망
555.0000			북한산비
561.0000			창녕비 건립
562.0000			진흥왕 대가야 정복
568.0000			황초령비, 마운령비8 건립, 북한산비(?)
578.0000	평원왕, 북주 격파(온달)
590.0000	영양왕, 신라와 아차산성 전투에서 온달 사망
598.0000	영양왕 요서 선공 -> 수 문제 침입
608.0000			진평왕, 원광 통해 걸사표 작성
611.0000			진평왕. 걸사표 수에 발송
612.0000	영양왕 때 수 양제 침입(살수대첩)
631.0000	천리장성 축조 시작
639.0000		무왕, 미륵사 창건
642.0800		의자왕 신라 대야성 및 40개 성 점령
642.1000	연개소문 정권 장악
645.0000	안시성 전투
647.0000	천리장성 완공
648.0000			진덕여왕 때 나당연합
660.0709		황산벌 전투
660.0718		백제 멸망
660.1231		웅진도독부 설치
663.0400		계림도독부 설치
663.0800		백강전투
665.0000			취리산 회맹
666.0000	연남생 당 투항, 연정토 신라 투항
668.0000	고구려 멸망->안동도호부 설치
671.0000	석성전투 승리 -> 사비에 소부리주 설치
672.0000	웅진도독부가 요동으로 이동
674.0000	안승을 보덕왕으로 추대, 금마저에서 보덕국 건설
675.0000	매소성 전투
676.0200	안동도호부 요동으로 이동
676.1100	기벌포 전투
